ingredient_id,product_ndc
3,83071-060
3,73590-0018
3,73590-0029
3,73655-120
3,76731-208
3,71217-0050
3,71217-0061
3,73590-0004
3,73590-0041
3,73590-0053
3,81689-020
3,81689-030
3,81733-020
3,82083-0005
3,82083-0013
3,83071-050
3,73590-0015
3,73590-0028
3,73590-0049
3,83071-010
3,73590-0003
3,81689-050
3,81689-060
3,82083-0002
3,82492-030
4,77052-010
4,72336-120
5,77071-006
5,78161-004
5,78784-003
5,79956-000
5,80499-100
5,43374-457
5,49035-701
5,50157-006
5,50157-424
5,50157-425
5,52862-624
5,55316-403
5,57243-001
5,59555-903
5,62257-086
5,63148-108
5,63148-197
5,63148-198
5,63148-514
5,63533-457
5,63940-628
5,64942-2107
5,65601-759
5,69560-567
5,69842-384
5,69842-749
5,69968-0053
5,71310-006
5,71310-203
5,71584-0103
5,71884-201
5,71897-118
5,71995-002
5,73126-009
5,73741-106
5,73741-108
5,74177-042
5,74934-089
5,75266-003
5,75990-457
5,78235-011
5,79021-007
5,79956-002
5,80499-030
5,80499-101
5,80499-103
5,81235-001
5,81792-004
5,0924-7115
5,11344-118
5,11344-466
5,41250-483
5,50814-057
5,52489-002
5,53125-717
5,55316-109
5,55316-196
5,63148-110
5,63148-512
5,63148-842
5,63941-403
5,64942-1836
5,64942-2031
5,67777-243
5,67996-457
5,68391-105
5,68654-086
5,69968-0220
5,71853-010
5,71884-103
5,72976-006
5,73126-029
5,73746-030
5,74177-043
5,74934-043
5,74934-069
5,74934-071
5,77071-007
5,77071-008
5,77645-002
5,78161-002
5,78161-010
5,78740-006
5,79021-004
5,79258-717
5,79903-164
5,79903-165
5,80204-050
5,80499-005
5,10742-0004
5,11673-577
5,34645-0009
5,37808-952
5,41163-340
5,41163-941
5,42961-224
5,44119-000
5,44577-711
5,49035-064
5,49035-628
5,49351-303
5,50157-514
5,50254-457
5,52862-621
5,52862-622
5,54622-700
5,55910-628
5,59088-315
5,63148-102
5,63148-273
5,63868-115
5,63868-493
5,64024-279
5,65601-700
5,69560-234
5,69560-345
5,70299-001
5,71020-001
5,71884-008
5,71884-025
5,73408-030
5,73741-105
5,73741-107
5,73795-001
5,77071-000
5,77071-001
5,77645-003
5,78495-112
5,78691-015
5,79021-003
5,79035-001
5,80204-035
5,80499-001
5,80499-007
5,80499-015
5,80499-018
5,81608-001
5,11344-340
5,11344-942
5,11429-1002
5,11673-147
5,11822-1020
5,11822-1090
5,11822-1243
5,41163-086
5,41163-628
5,41520-320
5,44119-011
5,50157-516
5,52862-616
5,54622-703
5,55910-086
5,55910-658
5,59050-434
5,59555-501
5,62428-759
5,0363-0082
5,63940-374
5,64942-2105
5,64942-2106
5,67502-391
5,68609-457
5,69842-584
5,69968-0727
5,69968-0730
5,70671-404
5,71853-004
5,74934-051
5,77071-004
5,77071-005
5,79258-751
5,79432-000
5,79432-001
5,79705-002
5,79903-166
5,79956-001
5,80499-002
5,80499-003
5,80499-006
5,80499-008
5,80499-012
